iter	Passed	Remaining
180	226	1023
181	226	1019
182	227	1014
183	227	1010
184	228	1006
185	228	1001
186	229	997
187	229	993
188	230	988
189	230	984
190	231	980
191	232	976
192	232	972
193	232	968
194	233	963
195	234	960
196	234	956
197	235	952
198	235	948
199	236	944
200	236	940
201	237	936
202	237	932
203	237	928
204	238	924
205	238	920
206	239	917
207	239	913
208	240	909
209	240	906
210	241	902
211	241	899
212	242	895
213	242	891
214	243	888
215	243	884
216	244	881
217	244	878
218	245	874
219	245	871
220	246	868
221	246	864
222	247	861
223	247	858
224	248	854
225	248	851
226	249	848
227	249	845
228	250	842
229	250	839
230	251	836
231	251	833
232	252	829
233	252	827
234	253	824
235	253	821
236	254	818
237	254	815
238	255	812
239	255	809
240	256	807
241	256	804
242	257	801
243	257	798
244	258	795
245	258	792
246	259	790
247	259	787
248	260	784
249	260	781
250	261	779
251	261	776
252	262	773
253	262	771
254	263	768
255	263	765
256	264	763
257	264	760
258	265	758
259	265	755
260	266	753
261	266	750
262	266	748
263	267	745
264	267	743
265	268	740
266	268	738
267	269	735
268	269	733
269	270	730
270	270	728
271	271	726
272	271	723
273	272	721
274	272	719
275	273	716
276	273	714
277	274	712
278	274	709
279	275	707
280	275	705
281	276	703
282	276	701
283	277	698
284	277	696
285	278	694
286	278	692
287	279	690
288	279	687
289	280	685
290	280	683
291	281	681
292	281	679
293	282	677
294	282	675
295	283	673
296	283	671
297	284	669
298	284	666
299	284	664
300	285	662
301	285	660
302	286	658
303	286	656
304	287	654
305	287	652
306	288	650
307	288	648
308	289	646
309	289	645
310	290	644
311	291	642
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	294	631
318	294	629
319	295	627
320	295	625
321	296	623
322	296	621
323	297	620
324	297	618
325	298	616
326	298	614
327	299	612
328	299	611
329	300	609
330	300	607
331	301	605
332	301	603
333	302	602
334	302	600
335	302	598
336	303	597
337	303	595
338	304	593
339	304	591
340	305	590
341	305	588
342	306	586
343	306	585
344	307	583
345	307	581
346	308	580
347	308	578
348	309	576
349	309	575
350	310	573
351	310	571
352	311	570
353	311	568
354	311	566
355	312	565
356	312	563
357	313	561
358	313	560
359	314	558
360	314	557
361	315	555
362	315	554
363	316	552
364	316	550
365	317	549
366	317	547
367	318	546
368	318	545
369	319	543
370	319	541
371	320	540
372	320	538
373	321	537
374	321	536
375	322	534
376	322	533
377	323	531
378	323	530
379	324	528
380	324	527
381	325	525
382	325	524
383	326	523
384	326	521
385	327	520
386	327	518
387	327	517
388	328	515
389	328	514
390	329	512
391	329	511
392	330	510
393	330	508
394	331	507
395	331	505
396	332	504
397	332	503
398	333	501
399	333	500
400	334	499
401	334	497
402	335	496
403	335	495
404	336	493
405	336	492
406	337	491
407	337	489
408	338	488
409	338	487
410	338	485
411	339	484
412	339	483
413	340	481
414	341	480
415	341	479
416	342	478
417	342	476
418	343	475
419	343	474
420	344	473
421	344	471
422	345	470
423	345	469
424	346	468
425	346	466
426	347	465
427	347	464
428	348	463
429	348	462
430	349	460
431	349	459
432	350	458
433	350	457
434	351	456
435	351	454
436	352	453
437	352	452
438	353	451
439	353	449
440	354	448
441	354	447
442	355	446
443	355	445
444	356	444
445	356	443
446	357	442
447	357	440
448	358	439
449	358	438
450	359	438
451	360	437
452	361	435
453	361	434
454	362	433
455	362	432
456	363	431
457	363	430
458	364	429
459	364	428
460	365	427
461	366	426
462	366	425
463	367	424
464	367	423
465	368	421
466	368	420
467	369	419
468	369	418
469	370	417
470	370	416
471	371	415
472	371	414
473	372	413
474	372	411
475	373	410
476	373	409
477	374	408
478	374	407
479	375	406
480	375	405
481	376	404
482	377	403
483	377	402
484	378	401
485	378	400
486	379	399
487	379	398
488	380	397
489	380	396
490	381	395
491	381	394
492	382	393
493	382	392
494	383	391
495	383	390
496	384	389
497	384	388
498	385	386
499	385	385
